Timestamp,Temperature,Humidity,Dustbin,Person,DayNight,Fan,Score,Status,AirQuality,AirStatus,Recommendation,Buzzer,HighTemp,MQRaw,AirQualityPercent,EnergySaving
14:22:33,30.4,55.5,43,Detected,Day,ON,65,Average,330,Moderate,Poor Air Quality,OFF,1,288,71,100
14:22:39,31.1,61.0,52,None,Day,OFF,80,Good,283,Fresh,Everything Normal,OFF,1,229,77,100
14:22:40,30.2,59.5,39,None,Night,OFF,55,Average,314,Moderate,Poor Air Quality,OFF,1,268,73,80
14:22:41,34.0,53.3,41,Detected,Day,ON,65,Average,325,Moderate,Poor Air Quality,OFF,1,282,72,100
14:22:42,32.8,67.9,49,None,Day,OFF,80,Good,289,Fresh,Everything Normal,OFF,1,237,76,100
14:22:43,29.8,64.1,42,None,Day,OFF,100,Excellent,279,Fresh,Energy Saving Excellent,OFF,0,224,78,100
14:22:44,29.0,49.6,46,Detected,Day,OFF,85,Good,321,Moderate,Poor Air Quality,OFF,0,277,72,100
14:22:45,31.2,53.8,36,Detected,Day,ON,65,Average,300,Moderate,Poor Air Quality,OFF,1,250,75,100
14:22:46,32.9,48.7,49,Detected,Day,ON,65,Average,321,Moderate,Poor Air Quality,OFF,1,277,72,100
14:22:47,27.5,53.4,45,Detected,Day,OFF,85,Good,327,Moderate,Poor Air Quality,OFF,0,284,72,100
14:22:48,28.2,43.2,44,None,Day,OFF,85,Good,338,Moderate,Poor Air Quality,OFF,0,298,70,100
14:22:49,29.4,54.2,37,Detected,Night,OFF,100,Excellent,252,Fresh,Energy Saving Excellent,OFF,0,190,81,100
14:22:50,31.5,56.7,46,Detected,Day,ON,80,Good,255,Fresh,Fan ON because passenger detected,OFF,1,194,81,100
14:22:51,32.7,46.1,50,Detected,Night,ON,80,Good,286,Fresh,Fan ON because passenger detected,OFF,1,233,77,100
14:22:52,26.2,63.4,48,None,Day,OFF,85,Good,312,Moderate,Poor Air Quality,OFF,0,266,73,100
14:22:53,35.5,53.4,59,None,Day,OFF,80,Good,264,Fresh,Everything Normal,OFF,1,205,79,100
14:22:54,29.9,53.3,38,Detected,Night,OFF,100,Excellent,296,Fresh,Energy Saving Excellent,OFF,0,246,75,100
14:22:55,33.1,59.1,51,None,Day,OFF,80,Good,252,Fresh,Everything Normal,OFF,1,191,81,100
14:22:56,28.4,46.3,58,Detected,Day,OFF,85,Good,316,Moderate,Poor Air Quality,OFF,0,271,73,100
14:22:57,31.6,59.9,59,Detected,Night,ON,80,Good,276,Fresh,Fan ON because passenger detected,OFF,1,221,78,100
14:22:58,31.2,53.3,54,Detected,Day,ON,65,Average,308,Moderate,Poor Air Quality,OFF,1,260,74,100
14:22:59,32.4,60.7,53,Detected,Night,ON,65,Average,318,Moderate,Poor Air Quality,OFF,1,273,73,100
14:23:00,32.3,46.8,53,Detected,Day,ON,80,Good,299,Fresh,Fan ON because passenger detected,OFF,1,249,75,100
14:23:01,31.1,48.5,39,Detected,Day,ON,65,Average,318,Moderate,Poor Air Quality,OFF,1,273,73,100
14:23:02,30.9,52.2,40,Detected,Night,ON,80,Good,258,Fresh,Fan ON because passenger detected,OFF,1,198,80,100
14:23:03,26.5,50.2,48,None,Day,OFF,85,Good,338,Moderate,Poor Air Quality,OFF,0,298,70,100
14:23:04,30.0,58.2,54,None,Day,OFF,85,Good,300,Moderate,Poor Air Quality,OFF,0,250,75,100
14:23:05,30.8,54.8,36,None,Day,OFF,80,Good,276,Fresh,Everything Normal,OFF,1,220,78,100
14:23:06,31.2,57.4,48,None,Day,OFF,80,Good,294,Fresh,Everything Normal,OFF,1,243,76,100
14:23:07,29.5,55.4,37,Detected,Day,OFF,85,Good,332,Moderate,Poor Air Quality,OFF,0,290,71,100
14:23:08,30.8,50.5,38,Detected,Night,ON,65,Average,334,Moderate,Poor Air Quality,OFF,1,293,71,100
14:23:09,29.4,59.9,43,Detected,Night,OFF,100,Excellent,281,Fresh,Energy Saving Excellent,OFF,0,227,77,100
14:23:10,31.0,62.2,57,None,Day,OFF,80,Good,261,Fresh,Everything Normal,OFF,1,202,80,100
14:23:11,29.0,55.3,40,Detected,Night,OFF,85,Good,302,Moderate,Poor Air Quality,OFF,0,253,75,100
14:23:12,26.6,52.2,35,None,Day,OFF,100,Excellent,296,Fresh,Energy Saving Excellent,OFF,0,246,75,100
14:23:13,27.5,54.3,51,Detected,Night,OFF,85,Good,338,Moderate,Poor Air Quality,OFF,0,298,70,100
14:23:14,29.4,53.9,41,Detected,Day,OFF,85,Good,316,Moderate,Poor Air Quality,OFF,0,271,73,100
14:23:15,30.4,53.1,56,Detected,Day,ON,80,Good,268,Fresh,Fan ON because passenger detected,OFF,1,211,79,100
14:23:16,28.6,61.7,37,Detected,Day,OFF,100,Excellent,280,Fresh,Energy Saving Excellent,OFF,0,225,78,100
14:23:17,28.4,59.5,54,None,Day,OFF,100,Excellent,294,Fresh,Energy Saving Excellent,OFF,0,243,76,100
14:23:18,27.3,53.4,59,Detected,Day,OFF,100,Excellent,293,Fresh,Energy Saving Excellent,OFF,0,242,76,100
14:23:19,30.6,54.8,47,None,Day,OFF,80,Good,276,Fresh,Everything Normal,OFF,1,221,78,100
14:23:20,30.9,63.5,42,Detected,Day,ON,65,Average,323,Moderate,Poor Air Quality,OFF,1,279,72,100
14:23:21,31.4,53.3,56,Detected,Day,ON,65,Average,312,Moderate,Poor Air Quality,OFF,1,266,73,100
14:23:22,28.6,61.7,47,None,Day,OFF,100,Excellent,288,Fresh,Energy Saving Excellent,OFF,0,235,77,100
14:23:23,27.2,52.2,40,None,Day,OFF,100,Excellent,290,Fresh,Energy Saving Excellent,OFF,0,238,76,100
14:23:24,27.9,57.0,40,Detected,Night,OFF,100,Excellent,262,Fresh,Energy Saving Excellent,OFF,0,203,80,100
14:23:25,31.8,54.8,44,Detected,Day,ON,65,Average,328,Moderate,Poor Air Quality,OFF,1,285,72,100
14:23:26,31.4,50.9,57,None,Day,OFF,65,Average,324,Moderate,Poor Air Quality,OFF,1,280,72,100
14:23:27,29.3,60.2,36,Detected,Day,OFF,85,Good,307,Moderate,Poor Air Quality,OFF,0,259,74,100
14:23:28,30.2,53.0,43,Detected,Night,ON,65,Average,320,Moderate,Poor Air Quality,OFF,1,275,73,100
14:23:29,32.7,59.0,35,Detected,Day,ON,65,Average,334,Moderate,Poor Air Quality,OFF,1,293,71,100
14:23:30,30.1,53.2,57,None,Day,OFF,80,Good,296,Fresh,Everything Normal,OFF,1,245,76,100
14:23:31,32.1,50.3,52,None,Night,OFF,55,Average,315,Moderate,Poor Air Quality,OFF,1,269,73,80
14:23:32,29.6,57.1,56,None,Day,OFF,85,Good,316,Moderate,Poor Air Quality,OFF,0,270,73,100
14:23:33,31.3,55.3,53,Detected,Day,ON,80,Good,257,Fresh,Fan ON because passenger detected,OFF,1,197,80,100
14:23:34,27.7,54.8,43,Detected,Day,OFF,100,Excellent,282,Fresh,Energy Saving Excellent,OFF,0,228,77,100
14:23:35,26.6,55.9,56,Detected,Day,OFF,100,Excellent,261,Fresh,Energy Saving Excellent,OFF,0,202,80,100
14:23:36,32.1,48.7,49,Detected,Day,ON,80,Good,260,Fresh,Fan ON because passenger detected,OFF,1,200,80,100
14:23:37,31.1,63.1,57,None,Day,OFF,80,Good,272,Fresh,Everything Normal,OFF,1,215,78,100
14:23:38,30.2,60.8,53,Detected,Day,ON,80,Good,266,Fresh,Fan ON because passenger detected,OFF,1,208,79,100
14:23:39,31.3,52.5,35,None,Day,OFF,80,Good,292,Fresh,Everything Normal,OFF,1,241,76,100
14:23:40,29.4,55.0,56,Detected,Day,OFF,100,Excellent,265,Fresh,Energy Saving Excellent,OFF,0,207,79,100
14:23:41,29.2,48.4,36,Detected,Day,OFF,85,Good,306,Moderate,Poor Air Quality,OFF,0,258,74,100
14:23:42,30.3,60.4,44,Detected,Day,ON,65,Average,313,Moderate,Poor Air Quality,OFF,1,267,73,100
14:23:43,31.4,56.6,48,None,Night,OFF,70,Good,296,Fresh,Everything Normal,OFF,1,245,76,80
14:23:44,31.1,62.2,38,None,Night,OFF,55,Average,328,Moderate,Poor Air Quality,OFF,1,286,72,80
14:23:45,30.4,58.2,36,None,Night,OFF,55,Average,330,Moderate,Poor Air Quality,OFF,1,288,71,80
14:23:46,31.5,52.6,54,None,Night,OFF,55,Average,305,Moderate,Poor Air Quality,OFF,1,257,74,80
